date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2023-06-23,NVDA,BUY,592,42.1809050783,24971.0958063536,,,,
2023-06-28,NVDA,SELL,592,41.0896319293,,24325.0621021456,-646.0337042080027,-2.587125968431173,5.0
2023-06-28,NVDA,BUY,604,41.0896319293,24818.1376852972,,,,
2023-07-03,NVDA,SELL,604,42.3847692929,,25600.4006529116,782.2629676144024,3.151980932388142,5.0
2023-07-03,NVDA,BUY,590,42.3847692929,25007.013882811003,,,,
2023-07-10,NVDA,SELL,590,42.1519243811,,24869.635384849,-137.37849796200317,-0.5493598660191491,7.0
2023-07-10,NVDA,BUY,593,42.1519243811,24996.0911579923,,,,
2023-07-17,NVDA,SELL,593,46.4300748855,,27533.0344071015,2536.9432491091975,10.149359886207767,7.0
2023-07-17,NVDA,BUY,552,46.4300748855,25629.401336796,,,,
2023-07-24,NVDA,SELL,552,44.5823056066,,24609.432694843203,-1019.968641952797,-3.9796818839011823,7.0
2023-07-24,NVDA,BUY,569,44.5823056066,25367.3318901554,,,,
2023-07-31,NVDA,SELL,569,46.6978965008,,26571.103108955198,1203.7712187997968,4.745359992971747,7.0
2023-07-31,NVDA,BUY,549,46.6978965008,25637.145178939198,,,,
2023-08-07,NVDA,SELL,549,45.3862701198,,24917.0622957702,-720.0828831689978,-2.8087483147715795,7.0
2023-08-07,NVDA,BUY,561,45.3862701198,25461.6975372078,,,,
2023-08-14,NVDA,SELL,561,43.7238773695,,24529.0952042895,-932.6023329183008,-3.6627657349061886,7.0
2023-08-14,NVDA,BUY,577,43.7238773695,25228.677242201502,,,,
2023-08-21,NVDA,SELL,577,46.9357380845,,27081.920874756503,1853.2436325550007,7.34578200340591,7.0
2023-08-21,NVDA,BUY,548,46.9357380845,25720.784470306,,,,
2023-08-25,AAPL,BUY,144,176.725015703,25448.402261232,,,,
2023-08-28,NVDA,SELL,548,46.8038259457,,25648.4966182436,-72.2878520623999,-0.28104839549453403,7.0
2023-08-28,NVDA,BUY,550,46.8038259457,25742.104270134998,,,,
2023-08-30,AAPL,SELL,144,185.6696108654,,26736.4239646176,1288.0217033855988,5.061306757743948,5.0
2023-08-30,AAPL,BUY,142,185.6696108654,26365.0847428868,,,,
2023-08-30,TSLA,BUY,102,256.9,26203.8,,,,
2023-09-05,NVDA,SELL,550,48.515685748,,26683.6271614,941.5228912650018,3.6575210844644173,8.0
2023-09-05,AAPL,SELL,142,187.6979759188,,26653.112580469602,288.027837582802,1.0924593658304556,6.0
2023-09-05,TSLA,SELL,102,256.49,,26161.98,-41.81999999999971,-0.15959517321913905,6.0
2023-09-05,AAPL,BUY,140,187.6979759188,26277.716628632003,,,,
2023-09-05,TSLA,BUY,102,256.49,26161.98,,,,
2023-09-05,NVDA,BUY,542,48.515685748,26295.501675416002,,,,
2023-09-11,AAPL,SELL,140,177.4671004787,,24845.394067017998,-1432.3225616140044,-5.4507116499359585,6.0
2023-09-11,TSLA,SELL,102,273.58,,27905.16,1743.1800000000003,6.663027798354702,6.0
2023-09-11,NVDA,SELL,542,45.1517662653,,24472.257315792598,-1823.2443596234043,-6.933673987775549,6.0
2023-09-11,AAPL,BUY,146,177.4671004787,25910.1966698902,,,,
2023-09-11,TSLA,BUY,94,273.58,25716.519999999997,,,,
2023-09-11,NVDA,BUY,574,45.1517662653,25917.1138362822,,,,
2023-09-18,AAPL,SELL,146,176.0917700278,,25709.3984240588,-200.79824583139998,-0.7749776985087163,7.0
2023-09-18,TSLA,SELL,94,265.28,,24936.319999999996,-780.2000000000007,-3.0338475034724803,7.0
2023-09-18,NVDA,SELL,574,43.9404700434,,25221.8298049116,-695.2840313706001,-2.6827216786664314,7.0
2023-09-18,AAPL,BUY,145,176.0917700278,25533.306654031003,,,,
2023-09-18,NVDA,BUY,581,43.9404700434,25529.413095215397,,,,
2023-09-25,AAPL,SELL,145,174.2217163932,,25262.148877014002,-271.1577770170006,-1.0619767376435414,7.0
2023-09-25,NVDA,SELL,581,42.1974827406,,24516.7374722886,-1012.6756229267958,-3.9667015420600817,7.0
2023-09-25,AAPL,BUY,144,174.2217163932,25087.927160620802,,,,
2023-09-25,NVDA,BUY,597,42.1974827406,25191.8971961382,,,,
2023-10-02,AAPL,SELL,144,171.9163063569,,24755.9481153936,-331.97904522720273,-1.32326215355205,7.0
2023-10-02,NVDA,SELL,597,44.7559962126,,26719.329738922203,1527.4325427840013,6.0631898061974825,7.0
2023-10-02,AAPL,BUY,148,171.9163063569,25443.6133408212,,,,
2023-10-02,NVDA,BUY,570,44.7559962126,25510.917841182003,,,,
2023-10-09,AAPL,SELL,148,177.1010053227,,26210.9487877596,767.3354469383994,3.0158273381214307,7.0
2023-10-09,NVDA,SELL,570,45.2467111012,,25790.625327684,279.70748650199675,1.096422669867522,7.0
2023-10-09,AAPL,BUY,145,177.1010053227,25679.6457717915,,,,
2023-10-09,NVDA,BUY,569,45.2467111012,25745.3786165828,,,,
2023-10-16,AAPL,SELL,145,176.8338548035,,25640.9089465075,-38.73682528399877,-0.1508464159834698,7.0
2023-10-16,NVDA,SELL,569,46.0682337864,,26212.8250244616,467.4464078788005,1.8156517130329362,7.0
2023-10-16,AAPL,BUY,146,176.8338548035,25817.742801311,,,,
2023-10-16,NVDA,BUY,561,46.0682337864,25844.2791541704,,,,
2023-10-23,AAPL,SELL,146,171.1742215812,,24991.436350855198,-826.3064504558024,-3.2005371531311533,7.0
2023-10-23,NVDA,SELL,561,42.9500454923,,24094.9755211803,-1749.3036329901006,-6.768630003394084,7.0
2023-10-23,AAPL,BUY,147,171.1742215812,25162.6105724364,,,,
2023-10-23,NVDA,BUY,587,42.9500454923,25211.676703980098,,,,
2023-10-26,TSLA,BUY,119,205.76,24485.44,,,,
2023-10-30,AAPL,SELL,147,168.4928219253,,24768.4448230191,-394.1657494172978,-1.56647398839083,7.0
2023-10-30,NVDA,SELL,587,41.1370988368,,24147.4770172016,-1064.1996867784983,-4.221058754931985,7.0
2023-10-30,AAPL,BUY,146,168.4928219253,24599.9520010938,,,,
2023-10-30,NVDA,BUY,598,41.1370988368,24599.9851044064,,,,
2023-10-31,TSLA,SELL,119,200.84,,23899.96,-585.4799999999996,-2.3911353032659353,5.0
2023-10-31,TSLA,BUY,122,200.84,24502.48,,,,
2023-11-06,AAPL,SELL,146,177.3384724509,,25891.416977831403,1291.4649767376031,5.24986787242584,7.0
2023-11-06,NVDA,SELL,598,45.7244335386,,27343.211256082803,2743.226151676401,11.151332572087735,7.0
2023-11-06,TSLA,SELL,122,219.27,,26750.940000000002,2248.4600000000028,9.176458872734518,6.0
2023-11-06,AAPL,BUY,148,177.3384724509,26246.093922733202,,,,
2023-11-06,TSLA,BUY,119,219.27,26093.13,,,,
2023-11-06,NVDA,BUY,575,45.7244335386,26291.549284695,,,,
2023-11-13,AAPL,SELL,148,183.0851175017,,27096.5973902516,850.5034675183997,3.240495404848534,7.0
2023-11-13,TSLA,SELL,119,223.71,,26621.49,528.3600000000006,2.024900807223969,7.0
2023-11-13,NVDA,SELL,575,48.591767582,,27940.266359650002,1648.7170749550023,6.270901182361137,7.0
2023-11-13,AAPL,BUY,147,183.0851175017,26913.5122727499,,,,
2023-11-13,TSLA,BUY,120,223.71,26845.2,,,,
2023-11-13,NVDA,BUY,556,48.591767582,27017.022775592002,,,,
2023-11-20,AAPL,SELL,147,189.6734077149,,27881.9909340903,968.4786613403994,3.598484848523432,7.0
2023-11-20,TSLA,SELL,120,235.6,,28272.0,1426.7999999999993,5.314916633141114,7.0
2023-11-20,NVDA,SELL,556,50.3797287545,,28011.129187502,994.1064119099974,3.6795557384957474,7.0
2023-11-20,TSLA,BUY,118,235.6,27800.8,,,,
2023-11-20,NVDA,BUY,553,50.3797287545,27859.9900012385,,,,
2023-11-27,TSLA,SELL,118,236.08,,27857.440000000002,56.640000000003056,0.20373514431240158,7.0
2023-11-27,NVDA,SELL,553,48.2139870772,,26662.334853691602,-1197.6551475468987,-4.298835525402765,7.0
2023-11-27,TSLA,BUY,116,236.08,27385.280000000002,,,,
2023-11-27,NVDA,BUY,572,48.2139870772,27578.4006081584,,,,
2023-12-04,TSLA,SELL,116,235.58,,27327.280000000002,-58.0,-0.21179261267366992,7.0
2023-12-04,NVDA,SELL,572,45.4835734812,,26016.6040312464,-1561.796576912002,-5.663115128039671,7.0
2023-12-04,NVDA,BUY,598,45.4835734812,27199.1769417576,,,,
2023-12-11,NVDA,SELL,598,46.6039277814,,27869.148813277203,669.9718715196032,2.46320641596705,7.0
2023-12-11,NVDA,BUY,587,46.6039277814,27356.5056076818,,,,
2023-12-18,NVDA,SELL,587,50.0522206342,,29380.6535122754,2024.1479045935994,7.399146417388956,7.0
