date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2025-06-25,AAPL,BUY,124,201.1354891611,24940.8006559764,,,,
2025-06-25,NVDA,BUY,162,154.3012907777,24996.8091059874,,,,
2025-06-30,AAPL,SELL,124,204.7378860448,,25387.4978695552,446.6972135788019,1.7910299662804212,5.0
2025-06-30,NVDA,SELL,162,157.9810830794,,25592.9354588628,596.1263528754025,2.384809798513903,5.0
2025-06-30,AAPL,BUY,123,204.7378860448,25182.7599835104,,,,
2025-06-30,NVDA,BUY,159,157.9810830794,25118.9922096246,,,,
2025-07-07,AAPL,SELL,123,209.5078187605,,25769.461707541497,586.7017240310961,2.329775308247659,7.0
2025-07-07,NVDA,SELL,159,158.2310689694,,25158.739966134603,39.747756510001636,0.15823786312084218,7.0
2025-07-07,AAPL,BUY,121,209.5078187605,25350.446070020498,,,,
2025-07-07,NVDA,BUY,160,158.2310689694,25316.971035104,,,,
2025-07-14,AAPL,SELL,121,208.1806199087,,25189.8550089527,-160.59106106779655,-0.6334841628594167,7.0
2025-07-14,NVDA,SELL,160,164.0607399255,,26249.71838808,932.7473529759991,3.6842770475293807,7.0
2025-07-14,NVDA,BUY,156,164.0607399255,25593.475428378,,,,
2025-07-21,NVDA,SELL,156,171.3703273507,,26733.7710667092,1140.2956383312012,4.455415371477221,7.0
2025-09-15,NVDA,BUY,145,177.75,25773.75,,,,
2025-09-22,NVDA,SELL,145,183.61,,26623.45,849.7000000000007,3.2967651195499372,7.0
2025-09-22,NVDA,BUY,142,183.61,26072.620000000003,,,,
2025-09-29,NVDA,SELL,142,181.85,,25822.7,-249.9200000000019,-0.9585534556941447,7.0
2025-09-29,NVDA,BUY,143,181.85,26004.55,,,,
2025-10-06,NVDA,SELL,143,185.54,,26532.219999999998,527.6699999999983,2.0291448996425614,7.0
2025-12-04,NVDA,BUY,142,183.37014298,26038.56030316,,,,
2025-12-09,NVDA,SELL,142,184.9600575145,,26264.328167059,225.76786389900008,0.867052023116657,5.0
2025-12-09,NVDA,BUY,141,184.9600575145,26079.3681095445,,,,
2025-12-15,NVDA,SELL,141,176.2805240808,,24855.5538953928,-1223.8142141516983,-4.692652862642818,6.0
2025-12-15,NVDA,BUY,147,176.2805240808,25913.2370398776,,,,
2025-12-22,NVDA,SELL,147,183.6801263169,,27000.978568584298,1087.7415287066979,4.197628906928083,7.0
2025-12-22,NVDA,BUY,142,183.6801263169,26082.577936999798,,,,
2025-12-29,NVDA,SELL,142,188.2098828209,,26725.8033605678,643.2254235680011,2.4661113833212953,7.0
2025-12-29,NVDA,BUY,140,188.2098828209,26349.383594926,,,,
2025-12-31,NVDA,SELL,140,186.4899752741,,26108.596538374,-240.78705655199883,-0.9138242482392102,2.0
