date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2022-06-23,AAPL,BUY,184,135.8141159085,24989.797327164004,,,,
2022-06-23,TSLA,BUY,106,235.07,24917.42,,,,
2022-06-23,NVDA,BUY,1543,16.2011297884,24998.3432635012,,,,
2022-06-23,MSFT,BUY,99,252.0592228629,24953.8630634271,,,,
2022-06-28,AAPL,SELL,184,134.9988579624,,24839.7898650816,-150.00746208240525,-0.6002748246355114,5.0
2022-06-28,TSLA,SELL,106,232.6633333333,,24662.3133333298,-255.10666667019905,-1.023808510954186,5.0
2022-06-28,NVDA,SELL,1543,15.9584872899,,24623.945888315702,-374.39737518549737,-1.4976887517667474,5.0
2022-06-28,MSFT,SELL,99,249.7417502893,,24724.4332786407,-229.42978478639998,-0.9194159004689565,5.0
2022-06-28,AAPL,BUY,183,134.9988579624,24704.7910071192,,,,
2022-06-28,TSLA,BUY,106,232.6633333333,24662.3133333298,,,,
2022-06-28,NVDA,BUY,1550,15.9584872899,24735.655299345002,,,,
2022-06-28,MSFT,BUY,99,249.7417502893,24724.4332786407,,,,
2022-07-05,AAPL,SELL,183,139.0456805381,,25445.359538472298,740.5685313530994,2.997671711287451,7.0
2022-07-05,TSLA,SELL,106,233.0666666667,,24705.0666666702,42.753333340402605,0.1733549191536001,7.0
2022-07-05,NVDA,SELL,1550,14.9419849709,,23160.076704895,-1575.5785944500021,-6.36966587455527,7.0
2022-07-05,MSFT,SELL,99,255.9443974717,,25338.4953496983,614.0620710576004,2.4836244541470838,7.0
2022-07-05,AAPL,BUY,177,139.0456805381,24611.085455243698,,,,
2022-07-05,TSLA,BUY,105,233.0666666667,24472.0000000035,,,,
2022-07-05,NVDA,BUY,1653,14.9419849709,24699.1011568977,,,,
2022-07-05,MSFT,BUY,96,255.9443974717,24570.6621572832,,,,
2022-07-11,AAPL,SELL,177,142.2968899376,,25186.549518955202,575.4640637115044,2.3382311388012957,6.0
2022-07-11,TSLA,SELL,105,234.3433333333,,24606.0499999965,134.0499999929998,0.5477688786898501,6.0
2022-07-11,NVDA,SELL,1653,15.1297083854,,25009.4079610662,310.3068041685001,1.2563485699229258,6.0
2022-07-11,MSFT,SELL,96,257.5607859054,,24725.835446918398,155.17328963519685,0.6315389005062012,6.0
2022-07-11,AAPL,BUY,175,142.2968899376,24901.955739080004,,,,
2022-07-11,TSLA,BUY,106,234.3433333333,24840.3933333298,,,,
2022-07-11,NVDA,BUY,1652,15.1297083854,24994.2782526808,,,,
2022-07-11,MSFT,BUY,97,257.5607859054,24983.3962328238,,,,
2022-07-18,AAPL,SELL,175,144.4578146139,,25280.117557432503,378.1618183524988,1.5186028853108502,7.0
2022-07-18,TSLA,SELL,106,240.5466666667,,25497.9466666702,657.5533333403982,2.6471132099914136,7.0
2022-07-18,NVDA,SELL,1652,16.0773122171,,26559.7197826492,1565.4415299684006,6.263199577689332,7.0
2022-07-18,MSFT,SELL,97,247.5703369115,,24014.3226804155,-969.0735524083029,-3.878870364050455,7.0
2022-07-18,AAPL,BUY,175,144.4578146139,25280.117557432503,,,,
2022-07-18,TSLA,BUY,105,240.5466666667,25257.400000003498,,,,
2022-07-18,NVDA,BUY,1580,16.0773122171,25402.153303018003,,,,
2022-07-18,MSFT,BUY,102,247.5703369115,25252.174364972998,,,,
2022-07-25,AAPL,SELL,175,150.2333769307,,26290.8409628725,1010.723405439996,3.998096144702608,7.0
2022-07-25,TSLA,SELL,105,268.4333333333,,28185.499999996504,2928.0999999930063,11.593038079899745,7.0
2022-07-25,NVDA,SELL,1580,16.9989543,,26858.347794,1456.1944909819977,5.732563194983125,7.0
2022-07-25,MSFT,SELL,102,252.0300110238,,25707.0611244276,454.8867594546027,1.8013765978329728,7.0
2022-07-25,TSLA,BUY,100,268.4333333333,26843.333333330003,,,,
2022-07-25,NVDA,BUY,1580,16.9989543,26858.347794,,,,
2022-07-25,MSFT,BUY,106,252.0300110238,26715.1811685228,,,,
