date,portfolio_value,cash,positions_count,daily_return,cummax,drawdown
2020-01-02,100000.0,100000.0,0,,100000.0,0.0
2020-01-03,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-06,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-07,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-08,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-09,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-10,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-13,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-14,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-15,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-16,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-17,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-21,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-22,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-23,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-24,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-27,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-28,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-29,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-30,100000.0,100000.0,0,0.0,100000.0,0.0
2020-01-31,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-03,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-04,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-05,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-06,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-07,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-10,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-11,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-12,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-13,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-14,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-18,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-19,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-20,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-21,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-24,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-25,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-26,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-27,100000.0,100000.0,0,0.0,100000.0,0.0
2020-02-28,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-02,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-03,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-04,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-05,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-06,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-09,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-10,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-11,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-12,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-13,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-16,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-17,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-18,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-19,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-20,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-23,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-24,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-25,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-26,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-27,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-30,100000.0,100000.0,0,0.0,100000.0,0.0
2020-03-31,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-01,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-02,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-03,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-06,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-07,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-08,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-09,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-13,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-14,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-15,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-16,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-17,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-20,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-21,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-22,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-23,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-24,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-27,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-28,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-29,100000.0,100000.0,0,0.0,100000.0,0.0
2020-04-30,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-01,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-04,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-05,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-06,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-07,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-08,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-11,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-12,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-13,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-14,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-15,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-18,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-19,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-20,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-21,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-22,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-26,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-27,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-28,100000.0,100000.0,0,0.0,100000.0,0.0
2020-05-29,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-01,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-02,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-03,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-04,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-05,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-08,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-09,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-10,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-11,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-12,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-15,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-16,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-17,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-18,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-19,100000.0,100000.0,0,0.0,100000.0,0.0
2020-06-22,100000.0,25038.839952249196,3,0.0,100000.0,0.0
2020-06-23,100519.31757461329,25038.839952249196,3,0.005193175746132983,100519.31757461329,0.0
2020-06-24,98477.5678612659,25038.839952249196,3,-0.020312013278759533,100519.31757461329,-0.020312013278759568
2020-06-25,100109.5142815881,25038.839952249196,3,0.016571757972549284,100519.31757461329,-0.004076861074201044
2020-06-26,97790.939230087,25038.839952249196,3,-0.023160386584030523,100519.31757461329,-0.027142825979703657
2020-06-29,99723.12429614319,24984.491487782787,3,0.019758324045850983,100519.31757461329,-0.0079207986850797
2020-06-30,102475.76535984258,24984.491487782787,3,0.027602836183962864,102475.76535984258,0.0
2020-07-01,103497.83459888298,24984.491487782787,3,0.009973765362487619,103497.83459888298,0.0
2020-07-02,105916.72789981858,24984.491487782787,3,0.02337143873889036,105916.72789981858,0.0
2020-07-06,111221.2307275254,55621.3788234946,2,0.05008182307825915,111221.2307275254,0.0
2020-07-07,111683.5397473383,55621.3788234946,2,0.004156661608479162,111683.5397473383,0.0
2020-07-08,112170.2828070649,55621.3788234946,2,0.0043582345332870975,112170.2828070649,0.0
2020-07-09,113573.7781558786,55621.3788234946,2,0.012512185167864232,113573.7781558786,0.0
2020-07-10,116537.21306830889,55621.3788234946,2,0.026092597785758453,116537.21306830889,0.0
2020-07-13,114366.1602834931,57237.5056459708,2,-0.018629695422210046,116537.21306830889,-0.018629695422210078
2020-07-14,115665.99966547379,57237.5056459708,2,0.011365594322294559,116537.21306830889,-0.007475838660432295
2020-07-15,115797.10592418,57237.5056459708,2,0.0011334900410266968,116537.21306830889,-0.006350822408075585
2020-07-16,114669.0170381259,57237.5056459708,2,-0.009741943695835809,116537.21306830889,-0.016030896749589713
2020-07-17,114862.6415512957,57237.5056459708,2,0.0016885512597133445,116537.21306830889,-0.014369414480777306
2020-07-20,118452.54626218238,59272.89551510379,2,0.03125389301867565,118452.54626218238,0.0
2020-07-21,116595.68231910578,59272.89551510379,2,-0.01567601543124819,118452.54626218238,-0.01567601543124814
2020-07-22,117337.6837167136,59272.89551510379,2,0.006363884003672382,118452.54626218238,-0.009411891771420043
2020-07-23,115040.64279278679,59272.89551510379,2,-0.019576327494861046,118452.54626218238,-0.02880396899061754
2020-07-24,113493.76424854717,59272.89551510379,2,-0.013446365620764844,118452.54626218238,-0.04186302591300538
2020-07-27,116339.95560691779,58208.6430177178,2,0.025077953641026163,118452.54626218238,-0.017834911295098635
2020-07-28,114574.37803575389,58208.6430177178,2,-0.01517602067108681,118452.54626218238,-0.032740268983703975
2020-07-29,115698.8389262739,58208.6430177178,2,0.009814243898135011,118452.54626218238,-0.023247346070665677
2020-07-30,115894.0402129178,58208.6430177178,2,0.001687149918317532,118452.54626218238,-0.021599417910372305
2020-07-31,114825.8273036378,58208.6430177178,2,-0.009217151350643271,118452.54626218238,-0.03061748415704989
2020-08-03,116952.9117848778,58513.110357836995,2,0.018524442899203075,118452.54626218238,-0.012660213094831249
2020-08-04,117569.7587358253,58513.110357836995,2,0.0052743188821335885,118452.54626218238,-0.007452668213675468
2020-08-05,117687.4776022765,58513.110357836995,2,0.0010012682488846902,118452.54626218238,-0.006458862084842675
2020-08-06,117906.6003097301,58513.110357836995,2,0.0018619033385534056,118452.54626218238,-0.004608984523168359
2020-08-07,116820.3783463669,58513.110357836995,2,-0.009212562829475135,118452.54626218238,-0.01377908679314376
2020-08-10,116057.35273807248,29226.58519679719,3,-0.006531613910991441,118452.54626218238,-0.02022070102915632
2020-08-11,113662.19570330458,29226.58519679719,3,-0.020637701776409556,118452.54626218238,-0.0404410940080162
2020-08-12,119681.20574214458,29226.58519679719,3,0.05295525043833904,119681.20574214458,0.0
2020-08-13,120971.69316489808,29226.58519679719,3,0.010782707399638713,120971.69316489808,0.0
2020-08-14,121919.92271935809,29226.58519679719,3,0.00783844161929248,121919.92271935809,0.0
2020-08-17,127892.45668725361,32205.049081125595,3,0.04898735034177659,127892.45668725361,0.0
2020-08-18,128772.9389454216,32205.049081125595,3,0.00688455191943893,128772.9389454216,0.0
2020-08-19,128113.76263829129,32205.049081125595,3,-0.005118903960169008,128772.9389454216,-0.005118903960168957
2020-08-20,131004.89931875549,32205.049081125595,3,0.02256694847552687,131004.89931875549,0.0
2020-08-21,133012.2547456467,32205.049081125595,3,0.015322750808021368,133012.2547456467,0.0
2020-08-24,132586.41212226302,33427.12275894912,3,-0.0032015292440384924,133012.2547456467,-0.003201529244038449
2020-08-25,133242.9380954586,33427.12275894912,3,0.004951683680754382,133242.9380954586,0.0
2020-08-26,136154.47662223733,33427.12275894912,3,0.02185135338799582,136154.47662223733,0.0
2020-08-27,138019.0289829352,33427.12275894912,3,0.013694388954034187,138019.0289829352,0.0
2020-08-28,139316.45161407063,33427.12275894912,3,0.009400317048280593,139316.45161407063,0.0
2020-08-31,143947.9709363661,72089.9227497572,2,0.033244597236265605,143947.9709363661,0.0
2020-09-01,143484.42993726418,72089.9227497572,2,-0.003220198215276193,143947.9709363661,-0.0032201982152761655
2020-09-02,142905.537061647,72089.9227497572,2,-0.004034534449976923,143947.9709363661,-0.0072417406646178226
2020-09-03,136417.3112527472,72089.9227497572,2,-0.04540220023875552,143947.9709363661,-0.052315149943641205
2020-09-04,136174.8281699245,72089.9227497572,2,-0.001777509618067774,143947.9709363661,-0.05399966887951346
2020-09-08,127921.7157345429,64027.8834355273,2,-0.06060674021988133,143947.9709363661,-0.11133366519565455
2020-09-09,133560.9857929255,64027.8834355273,2,0.044083758773881154,143947.9709363661,-0.07215791286167063
2020-09-10,132967.8286116353,64027.8834355273,2,-0.004441096161193481,143947.9709363661,-0.07627854879305443
2020-09-11,132706.0214740201,64027.8834355273,2,-0.0019689509887379497,143947.9709363661,-0.07809731105772684
2020-09-14,139139.2321250459,69671.55842942951,2,0.0484771570993503,143947.9709363661,-0.03340608957555886
2020-09-15,141951.6519759065,69671.55842942951,2,0.020212989592561792,143947.9709363661,-0.013868336923915928
2020-09-16,140002.8797745349,69671.55842942951,2,-0.013728422137013085,143947.9709363661,-0.02740636867729917
2020-09-17,138349.80463840792,69671.55842942951,2,-0.011807436666939619,143947.9709363661,-0.03889020638181076
2020-09-18,139156.3380497029,34896.96719858141,3,0.005829667872701005,143947.9709363661,-0.03328725549581656
2020-09-21,141014.1558830452,35421.640681434495,3,0.013350580069725115,143947.9709363661,-0.02038107959588972
2020-09-22,140229.4084351323,35421.640681434495,3,-0.0055650260287609665,143947.9709363661,-0.0258326843862053
2020-09-23,134160.5050976499,36767.856631739596,3,-0.04327839220893359,143947.9709363661,-0.06799307954846308
2020-09-24,135807.6433796839,36767.856631739596,3,0.012277370906103258,143947.9709363661,-0.05655048489902456
2020-09-25,139591.7131748354,36767.856631739596,3,0.027863452313741988,143947.9709363661,-0.030262724324585513
2020-09-28,141401.67001089518,70711.82433261038,2,0.012966076530580573,143947.9709363661,-0.017689036593621317
2020-09-29,141551.0976873592,70711.82433261038,2,0.001056760337077467,143947.9709363661,-0.01665096932881715
2020-09-30,142895.56375278957,70711.82433261038,2,0.009498097064565725,143947.9709363661,-0.0073110247871555605
2020-10-01,143482.7758111448,70711.82433261038,2,0.0041093792062789625,143947.9709363661,-0.00323168935411357
2020-10-02,140927.15995386158,70711.82433261038,2,-0.01781130761400218,143947.9709363661,-0.020985436354916707
2020-10-05,143207.72635637037,71707.05790855279,2,0.016182589667282254,143947.9709363661,-0.005142445393154963
2020-10-06,142695.8347437578,71707.05790855279,2,-0.00357446923875282,143947.9709363661,-0.008698533119038033
