date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2024-06-21,TSLA,BUY,136,183.01,24889.36,,,,
2024-06-21,NVDA,BUY,197,126.5237199152,24925.1728232944,,,,
2024-06-26,TSLA,SELL,136,196.37,,26706.32,1816.9599999999991,7.300147532921707,5.0
2024-06-26,NVDA,SELL,197,126.3537820753,,24891.695068834102,-33.477754460298456,-0.13431302842968776,5.0
2024-06-26,TSLA,BUY,129,196.37,25331.73,,,,
2024-06-26,NVDA,BUY,201,126.3537820753,25397.110197135302,,,,
2024-07-01,TSLA,SELL,129,209.86,,27071.940000000002,1740.2100000000028,6.869684778734027,5.0
2024-07-01,NVDA,SELL,201,124.2545499364,,24975.1645372164,-421.9456599189034,-1.6613924050559707,5.0
2024-07-01,TSLA,BUY,122,209.86,25602.920000000002,,,,
2024-07-01,NVDA,BUY,207,124.2545499364,25720.691836834798,,,,
2024-07-08,TSLA,SELL,122,252.94,,30858.68,5255.759999999998,20.527971028304577,7.0
2024-07-08,NVDA,SELL,207,128.1531239087,,26527.6966491009,807.0048122661028,3.137570394239482,7.0
2024-07-08,TSLA,BUY,107,252.94,27064.579999999998,,,,
2024-07-08,NVDA,BUY,212,128.1531239087,27168.462268644398,,,,
2024-07-15,TSLA,SELL,107,252.64,,27032.48,-32.099999999998545,-0.1186052028149013,7.0
2024-07-15,NVDA,SELL,212,128.3930361531,,27219.323664457203,50.8613958128044,0.18720748826297628,7.0
2024-07-15,TSLA,BUY,108,252.64,27285.12,,,,
2024-07-22,TSLA,SELL,108,251.51,,27163.079999999998,-122.04000000000087,-0.4472767574414168,7.0
2024-07-24,NVDA,BUY,238,114.2082247002,27181.557478647603,,,,
2024-07-29,NVDA,SELL,238,111.5491973243,,26548.7089631834,-632.848515464204,-2.3282275710703284,5.0
2024-07-29,NVDA,BUY,243,111.5491973243,27106.4549498049,,,,
2024-08-05,NVDA,SELL,243,100.4132706445,,24400.4247666135,-2706.0301831913966,-9.982973384761534,7.0
2024-08-05,NVDA,BUY,263,100.4132706445,26408.6901795035,,,,
2024-08-12,NVDA,SELL,263,108.98013704,,28661.77604152,2253.085862016498,8.531607765102947,7.0
2024-08-12,NVDA,BUY,247,108.98013704,26918.093848880002,,,,
2024-08-19,NVDA,SELL,247,129.9524657421,,32098.2590382987,5180.165189418698,19.244175380695594,7.0
2024-08-19,NVDA,BUY,217,129.9524657421,28199.6850660357,,,,
2024-08-26,NVDA,SELL,217,126.4137601365,,27431.785949620502,-767.8991164151994,-2.7230769230826417,7.0
2024-08-26,NVDA,BUY,222,126.4137601365,28063.854750303002,,,,
2024-08-30,TSLA,BUY,129,214.11,27620.190000000002,,,,
2024-09-03,NVDA,SELL,222,107.9605100011,,23967.2332202442,-4096.621530058801,-14.597501186163916,8.0
2024-09-04,TSLA,SELL,129,219.41,,28303.89,683.6999999999971,2.475363131100828,5.0
2024-09-04,TSLA,BUY,124,219.41,27206.84,,,,
2024-09-09,TSLA,SELL,124,216.27,,26817.48,-389.3600000000006,-1.4311107059842243,5.0
2024-09-09,TSLA,BUY,125,216.27,27033.75,,,,
2024-09-11,NVDA,BUY,235,116.8672520762,27463.804237907,,,,
2024-09-16,TSLA,SELL,125,226.78,,28347.5,1313.75,4.859666158043182,7.0
2024-09-16,NVDA,SELL,235,116.7470979401,,27435.5680159235,-28.23622198349767,-0.10281249363307964,5.0
2024-09-16,TSLA,BUY,121,226.78,27440.38,,,,
2024-09-16,NVDA,BUY,235,116.7470979401,27435.5680159235,,,,
2024-09-23,TSLA,SELL,121,250.0,,30250.0,2809.619999999999,10.23899814798483,7.0
2024-09-23,NVDA,SELL,235,116.227244447,,27313.402445045,-122.16557087850015,-0.44528172628901225,7.0
2024-09-23,NVDA,BUY,242,116.227244447,28126.993156174,,,,
2024-09-30,NVDA,SELL,242,121.4057850132,,29380.1999731944,1253.2068170204002,4.455530706968993,7.0
2024-09-30,NVDA,BUY,234,121.4057850132,28408.9536930888,,,,
2024-10-07,NVDA,SELL,234,127.6840156612,,29878.059664720797,1469.1059716319978,5.1712779974342915,7.0
2024-10-07,NVDA,BUY,225,127.6840156612,28728.903523769997,,,,
2024-10-14,NVDA,SELL,225,138.0310996111,,31056.997412497498,2328.0938887275006,8.103664265506193,7.0
2024-10-14,NVDA,BUY,213,138.0310996111,29400.6242171643,,,,
2024-10-21,NVDA,SELL,213,143.6695105752,,30601.6057525176,1200.9815353533013,4.084884478922601,7.0
2024-10-21,NVDA,BUY,206,143.6695105752,29595.9191784912,,,,
2024-10-28,NVDA,SELL,206,140.4804093384,,28938.9643237104,-656.9548547808008,-2.2197481038475195,7.0
2024-10-28,NVDA,BUY,210,140.4804093384,29500.885961064,,,,
2024-11-04,NVDA,SELL,210,136.0116687339,,28562.450434119,-938.4355269449989,-3.181041844585855,7.0
2024-11-07,NVDA,BUY,196,148.8380539589,29172.258575944397,,,,
2024-11-12,NVDA,SELL,196,148.2482201879,,29056.651156828397,-115.60741911600053,-0.39629231591732467,5.0
2024-12-06,NVDA,BUY,205,142.4096850086,29193.985426763,,,,
2024-12-11,NVDA,SELL,205,139.2803511552,,28552.471986816003,-641.5134399469971,-2.197416456058463,5.0
2024-12-11,NVDA,BUY,209,139.2803511552,29109.593391436803,,,,
2024-12-16,NVDA,SELL,209,131.9719069161,,27582.1285454649,-1527.4648459719028,-5.247290216088128,5.0
2024-12-16,NVDA,BUY,217,131.9719069161,28637.9038007937,,,,
2024-12-23,NVDA,SELL,217,139.6402745377,,30301.939574680902,1664.0357738872008,5.810606060633114,7.0
2024-12-23,NVDA,BUY,208,139.6402745377,29045.1771038416,,,,
2024-12-30,NVDA,SELL,208,137.4607384992,,28591.8336078336,-453.34349600800124,-1.5608219374501255,7.0
2024-12-30,NVDA,BUY,211,137.4607384992,29004.2158233312,,,,
2024-12-31,NVDA,SELL,211,134.2614195437,,28329.159523720697,-675.0562996105036,-2.327441995751127,1.0
