date,adjopen,adjhigh,adjlow,adjclose,adjvolume,ticker
2015-03-23,0.5485880027,0.5558157762,0.5469015223,0.5471424481,426011080,NVDA
2015-03-24,0.5454559676,0.5493107801,0.537264491,0.5396737489,330481000,NVDA
2015-03-25,0.5394328231,0.5394328231,0.5052213622,0.5069078427,542553600,NVDA
2015-03-26,0.4965480341,0.5072692313,0.4929341474,0.5051008993,311919880,NVDA
2015-03-27,0.5081124716,0.5170267255,0.499920995,0.5150993192,318286080,NVDA
2015-03-30,0.517508577,0.5199178348,0.5107626552,0.5172676512,253250240,NVDA
2015-03-31,0.5158220966,0.5163039481,0.5037758075,0.5041371962,357277680,NVDA
2015-04-01,0.5061850653,0.5078715458,0.4975117372,0.5061850653,330768920,NVDA
2015-04-02,0.5090761747,0.5105217294,0.5030530302,0.5073896942,192203440,NVDA
2015-04-06,0.5052213622,0.5237726473,0.499920995,0.521965704,515863360,NVDA
2015-04-07,0.5220861669,0.5324459754,0.5191950575,0.5266637567,413962760,NVDA
2015-04-08,0.5271456083,0.5324459754,0.5220861669,0.5305185692,366431440,NVDA
2015-04-09,0.5264228309,0.5444922645,0.5261819051,0.5426853211,379433080,NVDA
2015-04-10,0.5432876356,0.5485880027,0.5416011551,0.548347077,60246760,NVDA
2015-04-13,0.5471424481,0.5500335574,0.5408783778,0.5432876356,64630040,NVDA
2015-04-14,0.5411193035,0.5432876356,0.5335012304,0.5387100457,220274080,NVDA
2015-04-15,0.5401556004,0.5491903172,0.5375054168,0.5452150418,243558400,NVDA
2015-04-16,0.5420830067,0.5466605965,0.5379872684,0.5418420809,155282320,NVDA
2015-04-17,0.5305185692,0.5401556004,0.5302776434,0.5348552332,293636680,NVDA
2015-04-20,0.537264491,0.540637452,0.5312413465,0.5322050497,231625840,NVDA
2015-04-21,0.5387100457,0.5387100457,0.5288320887,0.5313618094,230454600,NVDA
2015-04-22,0.5346143075,0.5382281942,0.5264228309,0.5375054168,207419240,NVDA
2015-04-23,0.5276274598,0.5403965262,0.5216043153,0.5353370848,259378760,NVDA
2015-04-24,0.535096159,0.5353370848,0.5247363504,0.530759495,240958880,NVDA
2015-04-27,0.5324459754,0.5440104129,0.5278683856,0.5348552332,60645640,NVDA
2015-04-28,0.5338915301,0.5393123602,0.5288320887,0.5373849539,53931360,NVDA
