date,adjopen,adjhigh,adjlow,adjclose,adjvolume,ticker
2015-01-02,14.858,14.8833333333,14.2173333333,14.6206666667,71466645,TSLA
2015-01-05,14.3033333333,14.4333333333,13.81084,14.006,80527155,TSLA
2015-01-06,14.004,14.28,13.614,14.0853333333,93929040,TSLA
2015-01-07,14.2233333333,14.3186666667,13.9853333333,14.0633333333,44525850,TSLA
2015-01-08,14.1873333333,14.2533266667,14.0006666667,14.041,51637635,TSLA
2015-01-09,13.928,13.9986666667,13.664,13.7773333333,68710830,TSLA
2015-01-12,13.5366666667,13.6313333333,13.2833333333,13.4806666667,89254200,TSLA
2015-01-13,13.5546666667,13.8406666667,13.3940666667,13.6166666667,67159800,TSLA
2015-01-14,12.3886666667,13.0133333333,12.3333333333,12.846,173277825,TSLA
2015-01-15,12.966,13.0499933333,12.6666666667,12.7913333333,78247860,TSLA
2015-01-16,12.7133333333,12.966,12.6433333333,12.8713333333,54047370,TSLA
2015-01-20,12.9246666667,12.9413266667,12.4693333333,12.7953333333,67547730,TSLA
2015-01-21,12.6366666667,13.2453333333,12.634,13.1046666667,62295645,TSLA
2015-01-22,13.1333333333,13.5493333333,13.0133333333,13.4413333333,61753575,TSLA
2015-01-23,13.3526666667,13.5666666667,13.222,13.4193333333,51635565,TSLA
2015-01-26,13.4553333333,13.908,13.4033333333,13.77,48517830,TSLA
2015-01-27,13.628,13.8686666667,13.5533333333,13.732,41715360,TSLA
2015-01-28,13.7406666667,13.7578666667,13.228,13.2913333333,47244090,TSLA
2015-01-29,13.4046666667,13.732,13.1,13.68,53221590,TSLA
2015-01-30,13.5973333333,13.8313333333,13.5333333333,13.5733333333,45104385,TSLA
2015-02-02,13.598,14.1299933333,13.5533333333,14.0626666667,62237790,TSLA
2015-02-03,14.2146666667,14.6913333333,14.0846666667,14.5573333333,72393660,TSLA
2015-02-04,14.5526666667,14.7652666667,14.4533333333,14.57,49580655,TSLA
2015-02-05,14.6586666667,15.032,14.6425333333,14.7326666667,52844205,TSLA
2015-02-06,14.8,14.8933333333,14.43334,14.4906666667,48658965,TSLA
2015-02-09,14.3586666667,14.5286666667,14.1326666667,14.4986666667,52086345,TSLA
2015-02-10,14.5033333333,14.7,14.3333333333,14.4193333333,80858130,TSLA
