date,adjopen,adjhigh,adjlow,adjclose,adjvolume,ticker
2015-01-02,39.8479271895,40.4969718672,39.7454464509,39.933327805,27913852,MSFT
2015-01-05,39.6002654046,39.9077076203,39.497784666,39.5618351276,39673865,MSFT
2015-01-06,39.6088054661,39.9239337373,38.891440296,38.985380973,36447854,MSFT
2015-01-07,39.2672030041,39.6771259585,38.8487399882,39.4807045429,29114061,MSFT
2015-01-08,39.9247877434,40.7787084978,39.8991675588,40.6421529136,29645202,MSFT
2015-01-09,40.6592330367,40.8385743292,40.0528886667,40.3005504516,23715642,MSFT
2015-01-12,40.4969718672,40.5994526058,39.591725343,39.7966868202,23651887,MSFT
2015-01-13,40.1126690975,40.9154348832,39.3355234965,39.5874553122,35270601,MSFT
2015-01-14,39.250122881,39.4892446044,38.9597607883,39.2458528503,29719580,MSFT
2015-01-15,39.4721644813,39.6088054661,38.7804194958,38.8401999267,32750779,MSFT
2015-01-16,38.6950188803,39.5234048506,38.5754580186,39.4892446044,35695289,MSFT
2015-01-20,39.5404849737,39.8393871279,38.9170604806,39.6173455277,36161860,MSFT
2015-01-21,39.2330427579,39.4038439889,38.8401999267,39.2159626348,39081143,MSFT
2015-01-22,39.6088054661,40.2535801131,39.3526036196,40.2493100823,35898035,MSFT
2015-01-23,40.4457314979,40.4713516826,39.9674880512,40.2920103901,26211594,MSFT
2015-01-26,40.1382892822,40.2526407063,39.4891592038,40.1468293437,42525530,MSFT
2015-01-27,36.6795643547,36.8930658934,35.9579291537,36.4319025697,169163953,MSFT
2015-01-28,36.5002230621,36.5429233699,35.1508933373,35.176513522,84507078,MSFT
2015-01-29,34.9544719217,35.9707392461,34.83491106,35.876798569,63585273,MSFT
2015-01-30,35.4839557377,35.5095759224,34.4591483518,34.5018486596,78004944,MSFT
2015-02-02,34.664109829,35.3302346299,34.3566676132,35.2533740759,50352532,MSFT
2015-02-03,35.5522762301,35.8084780766,35.0526826295,35.5266560455,52082448,MSFT
2015-02-04,35.8170181382,36.0475998,35.3216945683,35.7316175227,41614812,MSFT
2015-02-05,36.0561398616,36.4148224466,35.744427615,36.2525612772,36548168,MSFT
2015-02-06,36.4489826928,36.5429233699,35.9963594307,36.218401031,34616554,MSFT
2015-02-09,36.0732199847,36.5002230621,36.0475998,36.1757007232,31381061,MSFT
2015-02-10,36.5002230621,36.5258432468,36.0219796154,36.3806622004,29670676,MSFT
2015-02-11,36.4233625082,36.4233625082,36.0475998,36.1927808463,38262509,MSFT
2015-02-12,36.4319025697,36.7991252164,36.3038016465,36.7991252164,33268831,MSFT
2015-02-13,37.0467870013,37.4652500172,36.8503655856,37.4652500172,40264887,MSFT
2015-02-17,37.8177617317,37.8435641618,37.1468985489,37.4823301403,33695749,MSFT
2015-02-18,37.5253341905,37.5855398607,37.3189147496,37.4393260901,27111657,MSFT
2015-02-19,37.1382977388,37.4361437904,37.0264872084,37.41352366,27603420,MSFT
2015-02-20,37.42212447,37.7403544414,37.2329066492,37.7188524163,29721133,MSFT
2015-02-23,37.5855398607,38.0069795525,37.5425358106,37.9725763124,32518754,MSFT
2015-02-24,37.9725763124,38.101588463,37.7747576816,37.9209714522,25271747,MSFT
2015-02-25,37.8005601117,37.9209714522,37.6715479611,37.8349633518,29759820,MSFT
2015-02-26,37.8349633518,38.0413827927,37.7489552514,37.890868617,28957329,MSFT
2015-02-27,37.9553746923,38.0155803626,37.5511366206,37.7145520113,33807740,MSFT
2015-03-02,37.5597374306,38.0069795525,37.4565277102,37.7403544414,31924049,MSFT
2015-03-03,37.4651285202,37.6930499862,37.0608904485,37.2243058392,31748648,MSFT
2015-03-04,36.9920839682,37.1641001689,36.8802734377,37.0307876134,25748692,MSFT
2015-03-05,37.0436888284,37.1899025991,36.8286685775,37.0780920686,23193541,MSFT
2015-03-06,36.9834831582,37.0780920686,36.252414305,36.4330313158,36248785,MSFT
2015-03-09,36.2868175452,37.0909932836,36.2868175452,36.8544710076,32107957,MSFT
2015-03-10,36.4244305058,36.7340596671,36.1492045846,36.1492045846,39159730,MSFT
2015-03-11,36.3900272656,36.4416321259,35.9857891939,36.1062005344,32215314,MSFT
2015-03-12,35.547147882,35.8223738032,35.1429098103,35.2805227709,59992502,MSFT
2015-03-13,35.0052968497,35.6675592225,34.9278895594,35.5901519322,58007705,MSFT
2015-03-16,35.6675592225,35.8137729932,35.5041438318,35.7449665129,35273452,MSFT
2015-03-17,35.5815511222,35.9771883839,35.3923333014,35.8610774484,31673448,MSFT
2015-03-18,35.6331559824,36.8372693875,35.547147882,36.5534426563,44194771,MSFT
2015-03-19,36.3470232154,36.6308499467,36.3126199753,36.3685252405,33879066,MSFT
2015-03-20,36.6050475166,36.9662815381,36.5448418463,36.8802734377,71904529,MSFT
2015-03-23,36.8802734377,37.0952936886,36.7942653374,36.8587714126,26246086,MSFT
2015-03-24,36.7942653374,37.1296969288,36.7684629072,36.8974750578,25513252,MSFT
2015-03-25,36.9146766779,36.9189770829,35.6417567924,35.6589584125,43469907,MSFT
2015-03-26,35.4525389716,35.7879705631,35.1945146705,35.4439381616,37495627,MSFT
2015-03-27,35.3665308713,35.6331559824,35.1171073802,35.2375187207,34401398,MSFT
2015-03-30,35.3493292512,35.7277648928,35.1859138605,35.2289179107,35049662,MSFT
2015-03-31,35.07410333,35.2891235809,34.8676838891,34.9665932045,34887219,MSFT
2015-04-01,34.9192887493,35.0569017099,34.6698652583,35.0224984698,36865322,MSFT
2015-04-02,34.9708936096,35.0397000899,34.5064498676,34.6526636382,37487476,MSFT
2015-04-06,34.6956676884,35.9341843337,34.5580547278,35.7320652978,39223692,MSFT
2015-04-07,35.7879705631,36.0459948642,35.529946262,35.7191640828,28809375,MSFT
2015-04-08,35.6589584125,35.8567770434,35.297724391,35.6245551724,24753438,MSFT
2015-04-09,35.4783414017,35.7965713731,35.4783414017,35.6761600326,25723861,MSFT
2015-04-10,35.8051721831,36.0803981043,35.6159543623,35.8825794735,28022002,MSFT
2015-04-13,35.6073535523,36.1750070147,35.5987527422,35.9169827136,30276692,MSFT
2015-04-14,35.9513859538,36.1492045846,35.5987527422,35.8223738032,24244382,MSFT
2015-04-15,35.9169827136,36.5190394162,35.8481762333,36.3427228104,27343581,MSFT
2015-04-16,36.0803981043,36.4158296957,35.9685875738,36.2610151151,22509652,MSFT
2015-04-17,35.8395754233,35.8997810935,35.4009341114,35.7922709681,42387608,MSFT
2015-04-20,35.8911802835,37.1296969288,35.8481762333,36.9017754628,46057733,MSFT
2015-04-21,36.9834831582,37.1124953087,36.5792450864,36.6695535918,26013844,MSFT
2015-04-22,36.699656427,37.0952936886,36.5964467065,36.9705819431,25064273,MSFT
2015-04-23,36.8888742478,37.5081325704,36.8114669574,37.2759106994,46309530,MSFT
2015-04-24,39.271298628,41.4042995171,39.2626978179,41.1720776461,130933665,MSFT
2015-04-27,40.6216258037,41.395698707,40.6130249937,41.3096906067,59248172,MSFT
2015-04-28,41.0946703558,42.324586191,41.0258638755,42.2772817358,60730778,MSFT
2015-04-29,41.9031464992,42.4105942914,41.7139286784,42.1955740405,47804562,MSFT
2015-04-30,41.8859448791,42.6084129222,41.7999367788,41.8343400189,64725457,MSFT
2015-05-01,41.7827351587,42.0364590548,41.627920578,41.847241234,38937336,MSFT
2015-05-04,41.6021181479,42.0321586498,41.4387027572,41.4903076174,34039485,MSFT
2015-05-05,41.1290735959,41.4215011371,40.690432284,40.9398557751,50369191,MSFT
2015-05-06,40.914053345,41.0860695457,39.5809277893,39.8045488502,52433020,MSFT
2015-05-07,39.7959480402,40.4969140582,39.7013391298,40.1657828718,32971654,MSFT
2015-05-08,40.8968517249,41.2666865565,40.8710492948,41.0688679256,35364911,MSFT
2015-05-11,40.8968517249,41.2064808862,40.7420371442,40.7420371442,24609416,MSFT
2015-05-12,40.2947950223,41.0086622554,39.9249601907,40.7248355242,29928264,MSFT
2015-05-13,41.4473035673,41.5591140977,40.914053345,40.9613578002,34184613,MSFT
2015-05-14,41.3097766148,41.9891545996,41.3096906067,41.9031464992,32980892,MSFT
2015-05-15,42.0321586498,42.0622614849,41.3268922267,41.5376120726,28642694,MSFT
2015-05-18,41.2666865565,41.4731059974,40.9484565851,41.2924889866,24136502,MSFT
2015-05-19,41.1719655716,41.3883867532,40.8430053757,41.1892792662,28574813,MSFT
2015-05-20,41.0247991682,41.4922689203,40.9209170011,41.1892792662,25047919,MSFT
2015-05-21,40.9295738483,41.2065929607,40.6915105487,41.05076971,22410698,MSFT
2015-05-22,40.9468875429,40.9901717792,40.5313588743,40.6006136524,25720583,MSFT
2015-05-26,40.5400157216,40.5832999579,39.9859774969,40.3322513874,29581860,MSFT
2015-05-27,40.5313588743,41.3537593641,40.3582219291,41.2152498079,27335639,MSFT
2015-05-28,41.1200244881,41.5701805456,41.0247991682,41.0767402518,19283666,MSFT
2015-05-29,41.0594265572,41.1806224189,40.3322513874,40.5659862634,36519594,MSFT
2015-06-01,40.7391232086,41.3537593641,40.3582219291,40.886289612,28837332,MSFT
2015-06-02,40.6265841942,40.9901717792,40.3582219291,40.617927347,21498326,MSFT
2015-06-03,41.0074854737,41.3234603987,40.5313588743,40.5573294161,28002154,MSFT
2015-06-04,40.5053883326,40.8256916812,39.9946343442,40.1331439004,27745512,MSFT
2015-06-05,40.0898596641,40.2716534565,39.6829878428,39.9426932606,25438086,MSFT
2015-06-08,40.0812028168,40.1937418312,39.5358214394,39.5877625229,22121634,MSFT
2015-06-09,39.6137330647,39.7695563154,39.3540276469,39.5185077449,24406057,MSFT
2015-06-10,39.6397036065,40.5400157216,39.5531351339,40.3495650819,28417405,MSFT
2015-06-11,40.3928493182,40.617927347,39.9340364134,40.2023986784,27347758,MSFT
2015-06-12,40.0119480387,40.2283692202,39.7349289264,39.7955268572,23930972,MSFT
2015-06-15,39.3453707996,39.5185077449,38.9732129359,39.3670129178,33254517,MSFT
2015-06-16,39.258802327,40.0292617332,39.2155180907,39.6743309955,27070306,MSFT
2015-06-17,39.5877625229,39.8820953298,39.2674591743,39.7955268572,28704061,MSFT
2015-06-18,40.0119480387,40.5140451798,39.9686638024,40.4447904017,32658343,MSFT
2015-06-19,40.5053883326,40.535687298,39.8128405517,39.9080658716,63837036,MSFT
2015-06-22,40.1071733586,40.4447904017,39.9600069551,40.020604886,20318055,MSFT
2015-06-23,39.9340364134,40.0638891223,39.4925372031,39.7435857736,25896473,MSFT
2015-06-24,39.5358214394,40.0335901569,39.4319392722,39.505522474,34890901,MSFT
2015-06-25,39.8474679408,39.8734384825,39.3886550359,39.5185077449,20615995,MSFT
2015-06-26,39.5185077449,40.0638891223,38.9817832147,39.1808907017,49835287,MSFT
2015-06-29,38.990440062,39.1549201599,38.4017744482,38.4104312955,34081746,MSFT
2015-06-30,38.7047641024,38.7134209496,38.0381868633,38.2199806558,35945384,MSFT
2015-07-01,38.4883429208,39.1549201599,38.1766964195,38.4753576499,28343907,MSFT
2015-07-02,38.5056566154,38.7393914914,38.1420690304,38.4364018373,21752013,MSFT
2015-07-06,38.0555005578,38.5056566154,38.0468437105,38.42774499,23033961,MSFT
2015-07-07,38.3844607537,38.5143134626,37.5014623331,38.3498333647,36435827,MSFT
2015-07-08,38.4710292263,38.8692442003,38.1160984886,38.2978922811,39785901,MSFT
2015-07-09,38.7393914914,39.1462633126,38.5229703099,38.5402840044,32424672,MSFT
2015-07-10,38.9644695202,39.0770085346,38.5835682407,38.6181956297,25465757,MSFT
2015-07-13,38.9341705548,39.4925372031,38.9126150051,39.423282425,28178329,MSFT
2015-07-14,39.3453707996,39.7868700099,39.224174938,39.4925372031,22880260,MSFT
2015-07-15,39.5444782866,39.7262720791,39.3280571051,39.6137330647,26629615,MSFT
2015-07-16,39.8301542462,40.41881986,39.7911984336,40.3928493182,26271673,MSFT
2015-07-17,40.2976239983,40.4967314853,40.0465754278,40.3582219291,29467107,MSFT
2015-07-20,40.3841924709,40.7997211394,40.2023986784,40.617927347,30631905,MSFT
2015-07-21,40.4967314853,40.9728580846,40.2370260675,40.9295738483,42781899,MSFT
2015-07-22,39.3367139524,40.6265841942,39.1315466723,39.423282425,59152427,MSFT
2015-07-23,39.1895475489,40.020604886,39.0423811455,39.9167227188,33934010,MSFT
2015-07-24,39.7435857736,40.0985165113,39.6483604538,39.7695563154,32333244,MSFT
2015-07-27,39.7695563154,39.8301542462,39.1722338544,39.258802327,39701420,MSFT
2015-07-28,39.457909814,39.5089852129,38.7740188804,39.2501454798,34328948,MSFT
2015-07-29,39.3020865633,40.4967314853,39.1808907017,40.0725459695,40945864,MSFT
2015-07-30,40.0465754278,41.0334560155,39.7608994681,40.5832999579,39777883,MSFT
2015-07-31,40.9382306956,41.0074854737,40.254339762,40.4274767072,31201480,MSFT
2015-08-03,40.6698684305,40.687182125,40.2110555257,40.5227020271,24125886,MSFT
2015-08-04,40.4707609435,41.3018182805,40.4101630127,41.1546518771,33403916,MSFT
2015-08-05,41.5355531566,41.9077975888,41.1546518771,41.1892792662,26739584,MSFT
2015-08-06,41.3018182805,41.3537593641,40.1071733586,40.3582219291,27368000,MSFT
2015-08-07,40.1591144421,40.4967314853,40.0465754278,40.4621040963,19163038,MSFT
2015-08-10,40.6438978887,41.1113676408,40.5486725689,40.9728580846,23079870,MSFT
2015-08-11,40.5313588743,40.6352410415,39.7349289264,40.1764281367,29237402,MSFT
2015-08-12,39.9859774969,40.6006136524,39.5661204048,40.4621040963,30198532,MSFT
2015-08-13,40.7391232086,40.7737505976,40.2456829147,40.453447249,22627241,MSFT
2015-08-14,40.2803103038,40.7737505976,40.2716534565,40.687182125,21473402,MSFT
2015-08-17,40.5227020271,41.0767402518,40.3149376928,40.9642012374,21099746,MSFT
2015-08-18,40.8145936287,41.3286971778,40.692602956,41.1892792662,23574104,MSFT
2015-08-19,40.7623119118,41.0237204961,40.3440581769,40.6141803807,31485511,MSFT
2015-08-20,40.143644929,40.492189708,39.7863865304,39.7863865304,36238227,MSFT
2015-08-21,39.4726962293,39.6295413798,37.529559086,37.529559086,70053084,MSFT
2015-08-24,35.2465907831,37.7386859534,34.6104965613,36.3183659787,88753660,MSFT
2015-08-25,37.0895213024,37.6776906171,35.1943090662,35.264018022,70616597,MSFT
2015-08-26,36.6059154214,37.329145838,35.7781215712,37.2158687848,63407996,MSFT
2015-08-27,37.5905544223,38.2963575999,37.4032116035,38.2527895025,50943211,MSFT
2015-08-28,37.878103865,38.4706299894,37.8083949092,38.278930361,28246725,MSFT
2015-08-31,38.1133715909,38.278930361,37.5556999444,37.9216719624,34441662,MSFT
2015-09-01,36.7976150499,37.1113053511,36.3009387398,36.4403566514,49688896,MSFT
2015-09-02,36.8063286694,37.7996812897,36.4926383682,37.7822540508,37671518,MSFT
2015-09-03,37.8258221482,38.3224984583,37.712545095,37.9042447235,28285205,MSFT
2015-09-04,37.3030049796,37.5034182275,36.7671173818,37.12873259,37138775,MSFT
2015-09-08,37.7299723339,38.3399256973,37.6428361392,38.244075883,32469766,MSFT
2015-09-09,38.5229117063,38.6884704764,37.3901411743,37.529559086,33469485,MSFT
2015-09-10,37.5731271833,38.1569396883,37.246366453,37.7212587144,31366630,MSFT
2015-09-11,37.5905544223,37.9826672987,37.4161948966,37.8868174845,27132527,MSFT
2015-09-14,37.8432493871,37.8519630066,37.346573077,37.5034182275,23656048,MSFT
2015-09-15,37.6341225197,38.5926206621,37.5382727054,38.3224984583,28882206,MSFT
2015-09-16,38.3137848389,38.6710432374,38.2005077857,38.6013342816,23372162,MSFT
2015-09-17,38.5926206621,39.211287645,38.4096346531,38.5577661842,32768161,MSFT
2015-09-18,37.9042447235,38.3312120778,37.7561131924,37.8868174845,63143684,MSFT
2015-09-21,38.0088081572,38.7494658127,37.9913809182,38.4357755115,26177224,MSFT
2015-09-22,37.7996812897,38.3834937947,37.7386859534,38.2527895025,28085903,MSFT
2015-09-23,38.278930361,38.4880572284,37.9129583429,38.2266486441,17145238,MSFT
2015-09-24,37.8606766261,38.4532027505,37.7038314755,38.261503122,27905607,MSFT
2015-09-25,38.7581794322,38.9760199191,38.1307988298,38.2876439804,29384601,MSFT
2015-09-28,38.1917941662,38.4139914628,37.6471929489,37.7212587144,27099680,MSFT
2015-09-29,37.7909676703,37.9652400598,37.512131847,37.8519630066,32763557,MSFT
