date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2023-07-13,NVDA,BUY,544,45.9463970429,24994.8399913376,,,,
2023-07-18,NVDA,SELL,544,47.4623873057,,25819.538694300798,824.6987029631964,3.299475824806285,5.0
2023-08-08,NVDA,BUY,564,44.6342709947,25173.7288410108,,,,
2023-08-14,NVDA,SELL,564,43.7238773695,,24660.266836398,-513.4620046128002,-2.0396740103766984,6.0
2023-08-14,NVDA,BUY,573,43.7238773695,25053.781732723503,,,,
2023-08-21,NVDA,SELL,573,46.9357380845,,26894.1779224185,1840.3961896949986,7.34578200340591,7.0
2023-08-21,NVDA,BUY,544,46.9357380845,25533.041517968002,,,,
2023-08-28,NVDA,SELL,544,46.8038259457,,25461.2813144608,-71.76020350720137,-0.28104839549453403,7.0
2023-08-28,NVDA,BUY,545,46.8038259457,25508.0851404065,,,,
2023-09-05,NVDA,SELL,545,48.515685748,,26441.04873266,932.9635922535017,3.6575210844644173,8.0
2023-09-13,AAPL,BUY,149,172.3714516859,25683.3463011991,,,,
2023-09-13,NVDA,BUY,566,45.4585879981,25729.5608069246,,,,
2023-09-18,AAPL,SELL,149,176.0917700278,,26237.6737341422,554.3274329431006,2.1583146776992184,5.0
2023-09-18,NVDA,SELL,566,43.9404700434,,24870.3060445644,-859.2547623602004,-3.3395624931497094,5.0
2023-09-18,AAPL,BUY,145,176.0917700278,25533.306654031003,,,,
2023-09-18,NVDA,BUY,584,43.9404700434,25661.234505345597,,,,
2023-09-25,AAPL,SELL,145,174.2217163932,,25262.148877014002,-271.1577770170006,-1.0619767376435414,7.0
2023-09-25,NVDA,SELL,584,42.1974827406,,24643.3299205104,-1017.9045848351961,-3.9667015420600817,7.0
2023-09-25,AAPL,BUY,145,174.2217163932,25262.148877014002,,,,
2023-09-25,NVDA,BUY,600,42.1974827406,25318.48964436,,,,
2023-10-02,AAPL,SELL,145,171.9163063569,,24927.864421750503,-334.2844552634997,-1.32326215355205,7.0
2023-10-02,NVDA,SELL,600,44.7559962126,,26853.59772756,1535.1080832000007,6.0631898061974825,7.0
2023-10-02,AAPL,BUY,149,171.9163063569,25615.5296471781,,,,
2023-10-02,NVDA,BUY,573,44.7559962126,25645.185829819802,,,,
2023-10-09,AAPL,SELL,149,177.1010053227,,26388.0497930823,772.5201459042,3.0158273381214307,7.0
2023-10-09,NVDA,SELL,573,45.2467111012,,25926.3654609876,281.1796311677972,1.096422669867522,7.0
2023-10-09,AAPL,BUY,146,177.1010053227,25856.7467771142,,,,
2023-10-09,NVDA,BUY,572,45.2467111012,25881.1187498864,,,,
2023-10-16,AAPL,SELL,146,176.8338548035,,25817.742801311,-39.003975803199864,-0.1508464159834698,7.0
2023-10-16,NVDA,SELL,572,46.0682337864,,26351.0297258208,469.9109759344028,1.8156517130329362,7.0
2023-10-16,AAPL,BUY,147,176.8338548035,25994.5766561145,,,,
2023-10-16,NVDA,BUY,564,46.0682337864,25982.4838555296,,,,
2023-10-23,AAPL,SELL,147,171.1742215812,,25162.6105724364,-831.9660836781004,-3.2005371531311533,7.0
2023-10-23,NVDA,SELL,564,42.9500454923,,24223.8256576572,-1758.6581978724025,-6.768630003394084,7.0
2023-10-23,AAPL,BUY,148,171.1742215812,25333.7847940176,,,,
2023-10-23,NVDA,BUY,590,42.9500454923,25340.526840456998,,,,
2023-10-30,AAPL,SELL,148,168.4928219253,,24936.937644944403,-396.8471490731972,-1.56647398839083,7.0
2023-10-30,NVDA,SELL,590,41.1370988368,,24270.888313712,-1069.6385267449987,-4.221058754931985,7.0
2023-10-30,AAPL,BUY,148,168.4928219253,24936.937644944403,,,,
2023-10-30,NVDA,BUY,608,41.1370988368,25011.3560927744,,,,
2023-11-03,TSLA,BUY,117,219.96,25735.32,,,,
2023-11-06,AAPL,SELL,148,177.3384724509,,26246.093922733202,1309.1562777887993,5.24986787242584,7.0
2023-11-06,NVDA,SELL,608,45.7244335386,,27800.455591468803,2789.0994986944024,11.151332572087735,7.0
