date,ticker,action,shares,price,cost,proceeds,pnl,pnl_pct,hold_days
2020-06-22,TSLA,BUY,377,66.288,24990.575999999997,,,,
2020-06-26,NVDA,BUY,2715,9.1248786216,24774.045457644002,,,,
2020-06-29,TSLA,SELL,377,67.29,,25368.33,377.75400000000445,1.5115858073859667,7.0
2020-06-29,TSLA,BUY,373,67.29,25099.170000000002,,,,
2020-07-01,NVDA,SELL,2715,9.4986448131,,25788.820667566502,1014.7752099224999,4.096122337619234,5.0
2020-07-01,NVDA,BUY,2740,9.4986448131,26026.286787894,,,,
2020-07-06,TSLA,SELL,373,91.4386666667,,34106.6226666791,9007.452666679095,35.887452320850045,7.0
2020-07-06,NVDA,SELL,2740,9.8068773324,,26870.843890776,844.5571028819977,3.245015740296992,5.0
2020-07-06,TSLA,BUY,304,91.4386666667,27797.3546666768,,,,
2020-07-06,NVDA,BUY,2835,9.8068773324,27802.497237353997,,,,
2020-07-13,TSLA,SELL,304,99.804,,30340.416,2543.0613333231995,9.148573178338431,7.0
2020-07-13,NVDA,SELL,2835,10.0191765291,,28404.3654599985,601.8682226445017,2.164799145581287,7.0
2020-07-13,TSLA,BUY,286,99.804,28543.944,,,,
2020-07-20,TSLA,SELL,286,109.5333333333,,31326.5333333238,2782.589333323802,9.748440276241437,7.0
2020-07-20,TSLA,BUY,267,109.5333333333,29245.399999991103,,,,
2020-07-27,TSLA,SELL,267,102.64,,27404.88,-1840.519999991102,-6.293365794250247,7.0
2020-07-27,TSLA,BUY,280,102.64,28739.2,,,,
2020-08-03,TSLA,SELL,280,99.0,,27720.0,-1019.2000000000007,-3.5463756819953245,7.0
2020-08-04,TSLA,BUY,288,99.1333333333,28550.3999999904,,,,
2020-08-10,TSLA,SELL,288,94.5713333333,,27236.5439999904,-1313.8559999999998,-4.601882985879151,6.0
2020-08-10,TSLA,BUY,298,94.5713333333,28182.2573333234,,,,
2020-08-17,TSLA,SELL,298,122.376,,36468.048,8285.790666676603,29.40073454257788,7.0
2020-08-17,TSLA,BUY,247,122.376,30226.872,,,,
2020-08-24,TSLA,SELL,247,134.28,,33167.16,2940.288000000004,9.727397528927236,7.0
2020-08-24,TSLA,BUY,231,134.28,31018.68,,,,
2020-08-31,TSLA,SELL,231,166.1066666667,,38370.6400000077,7351.960000007697,23.701717803619296,7.0
2020-08-31,TSLA,BUY,198,166.1066666667,32889.1200000066,,,,
2020-09-08,TSLA,SELL,198,110.07,,21793.859999999997,-11095.260000006605,-33.735350778629446,8.0
2020-09-18,NVDA,BUY,2478,12.1526616065,30114.295460907,,,,
2020-09-23,NVDA,SELL,2478,12.0873582174,,29952.473662717202,-161.82179818979785,-0.5373587384764504,5.0
2020-09-23,NVDA,BUY,2488,12.0873582174,30073.3472448912,,,,
2020-09-28,NVDA,SELL,2488,12.9958729241,,32333.7318351608,2260.384590269601,7.516238787332161,5.0
2020-09-28,NVDA,BUY,2358,12.9958729241,30644.2683550278,,,,
2020-10-02,MSFT,BUY,155,197.6855895062,30641.266373461,,,,
2020-10-05,NVDA,SELL,2358,13.6015493953,,32072.4534741174,1428.1851190895977,4.660529344487598,7.0
2020-10-05,NVDA,BUY,2290,13.6015493953,31147.548115236998,,,,
2020-10-07,MSFT,SELL,155,201.1754558712,,31182.195660036,540.9292865749994,1.76536204470815,5.0
2020-10-07,MSFT,BUY,155,201.1754558712,31182.195660036,,,,
2020-10-12,NVDA,SELL,2290,14.1832979071,,32479.752207259,1332.2040920220024,4.277075316147609,7.0
2020-10-12,MSFT,SELL,155,212.2682453886,,32901.578035233004,1719.3823751970049,5.513987513716397,5.0
2020-10-12,NVDA,BUY,2249,14.1832979071,31898.2369930679,,,,
2020-10-19,NVDA,SELL,2249,13.4572338904,,30265.3190195096,-1632.917973558302,-5.119148039163311,7.0
2020-10-26,NVDA,BUY,2403,13.1018039942,31483.634998062604,,,,
2020-11-02,NVDA,SELL,2403,12.5429864435,,30140.796423730502,-1342.8385743321014,-4.265195471916554,7.0
2020-11-02,NVDA,BUY,2483,12.5429864435,31144.2353392105,,,,
2020-11-04,TSLA,BUY,227,140.3266666667,31854.1533333409,,,,
2020-11-09,NVDA,SELL,2483,13.5898346652,,33743.5594736916,2599.324134481103,8.346084295120122,7.0
2020-11-09,TSLA,SELL,227,140.42,,31875.339999999997,21.186666659097682,0.0665114732053586,5.0
2020-11-09,TSLA,BUY,226,140.42,31734.92,,,,
2020-11-09,NVDA,BUY,2340,13.5898346652,31800.213116568,,,,
2020-11-16,TSLA,SELL,226,136.03,,30742.78,-992.1399999999994,-3.126335279874652,7.0
2020-11-16,NVDA,SELL,2340,13.4746813608,,31530.754384272,-269.45873229599965,-0.8473488253310183,7.0
2020-11-16,TSLA,BUY,231,136.03,31422.93,,,,
2020-11-16,NVDA,BUY,2337,13.4746813608,31490.3303401896,,,,
2020-11-23,TSLA,SELL,231,173.95,,40182.45,8759.519999999997,27.876203778578244,7.0
2020-11-23,NVDA,SELL,2337,13.1005577463,,30616.003453103098,-874.3268870865031,-2.7764932207479545,7.0
2020-11-23,TSLA,BUY,192,173.95,33398.399999999994,,,,
2020-11-23,NVDA,BUY,2554,13.1005577463,33458.8244840502,,,,
2020-11-30,TSLA,SELL,192,189.2,,36326.399999999994,2928.0,8.766887036504743,7.0
2020-11-30,NVDA,SELL,2554,13.3612728034,,34124.6907398836,665.8662558333963,1.990106544689935,7.0
2020-11-30,TSLA,BUY,181,189.2,34245.2,,,,
2020-11-30,NVDA,BUY,2572,13.3612728034,34365.1936503448,,,,
2020-12-07,TSLA,SELL,181,213.92,,38719.52,4474.32,13.06553911205074,7.0
2020-12-07,NVDA,SELL,2572,13.5699574394,,34901.9305341368,536.7368837920003,1.5618619503592195,7.0
2020-12-07,NVDA,BUY,2624,13.5699574394,35607.5683209856,,,,
2020-12-09,MSFT,BUY,172,203.6029361359,35019.7050153748,,,,
2020-12-14,NVDA,SELL,2624,13.2727632294,,34827.7307139456,-779.8376070399972,-2.1900894776361173,7.0
2020-12-14,MSFT,SELL,172,205.9100515595,,35416.528868234,396.82385285920464,1.1331444759028753,5.0
2020-12-14,NVDA,BUY,2676,13.2727632294,35517.914401874405,,,,
2020-12-14,MSFT,BUY,172,205.9100515595,35416.528868234,,,,
2020-12-21,NVDA,SELL,2676,13.2961996856,,35580.6303586656,62.71595679119491,0.17657556150844073,7.0
2020-12-21,MSFT,SELL,172,213.9753425613,,36803.7589205436,1387.2300523095982,3.9169000933737563,7.0
2020-12-21,NVDA,BUY,2698,13.2961996856,35873.1467517488,,,,
2020-12-28,NVDA,SELL,2698,12.8651184867,,34710.0896771166,-1163.0570746321973,-3.2421384237096516,7.0
2020-12-28,NVDA,BUY,2766,12.8651184867,35584.9177342122,,,,
2021-01-04,NVDA,SELL,2766,13.0780411841,,36173.8619152206,588.9441810084027,1.6550387594185003,7.0
2021-01-04,NVDA,BUY,2732,13.0780411841,35729.2085149612,,,,
2021-01-11,NVDA,SELL,2732,13.5846675555,,37113.311761626,1384.1032466647957,3.873870438762227,7.0
2021-01-11,NVDA,BUY,2656,13.5846675555,36080.877027408,,,,
2021-01-19,NVDA,SELL,2656,12.9900298115,,34501.519179343995,-1579.3578480640062,-4.377271225597641,8.0
2021-01-19,NVDA,BUY,2747,12.9900298115,35683.6118921905,,,,
2021-01-19,MSFT,BUY,171,208.0633592882,35578.834438282196,,,,
2021-01-25,NVDA,SELL,2747,13.6163317037,,37404.0631900639,1720.4512978733983,4.821404579422437,6.0
2021-01-25,MSFT,SELL,171,220.646751328,,37730.594477088,2151.7600388058054,6.047865459275823,6.0
2021-01-25,NVDA,BUY,2692,13.6163317037,36655.1649463604,,,,
2021-02-01,NVDA,SELL,2692,13.2012072409,,35537.6498925028,-1117.515053857598,-3.0487246626578353,7.0
2021-02-01,NVDA,BUY,2755,13.2012072409,36369.3259486795,,,,
2021-02-08,NVDA,SELL,2755,14.399707717,,39671.194760335,3301.8688116554986,9.078718743137397,7.0
2021-02-08,NVDA,BUY,2583,14.399707717,37194.445033011,,,,
2021-02-16,NVDA,SELL,2583,15.288797107,,39490.962927381,2296.517894370001,6.174357198586467,8.0
2021-02-16,NVDA,BUY,2471,15.288797107,37778.617651397,,,,
2021-02-22,NVDA,SELL,2471,14.3169321484,,35377.1393386964,-2401.4783127006012,-6.356713035030278,6.0
2021-02-25,NVDA,BUY,2801,13.2715166094,37173.518022929406,,,,
2021-03-02,NVDA,SELL,2801,13.3699995901,,37449.3688518701,275.8508289406964,0.7420627468472304,5.0
2021-03-02,NVDA,BUY,2786,13.3699995901,37248.8188580186,,,,
2021-03-08,NVDA,SELL,2786,11.5619019299,,32211.458776701398,-5037.360081317205,-13.523543123657475,6.0
2021-03-08,NVDA,BUY,3112,11.5619019299,35980.6388058488,,,,
2021-03-12,AAPL,BUY,313,118.0059477604,36935.8616490052,,,,
2021-03-15,NVDA,SELL,3112,13.1597839257,,40953.2475767784,4972.608770929597,13.820234815067492,7.0
2021-03-15,NVDA,BUY,2846,13.1597839257,37452.745052542195,,,,
2021-03-17,AAPL,SELL,313,121.6427500833,,38074.1807760729,1138.319127067698,3.0818805254496,5.0
2021-03-17,AAPL,BUY,309,121.6427500833,37587.6097757397,,,,
2021-03-22,NVDA,SELL,2846,13.1547958526,,37438.5489964996,-14.196056042594137,-0.03790391337853593,7.0
2021-03-22,AAPL,SELL,309,120.3069808655,,37174.8570874395,-412.7526883001992,-1.0981083680575143,5.0
2021-03-22,AAPL,BUY,310,120.3069808655,37295.164068305,,,,
2021-03-22,NVDA,BUY,2843,13.1547958526,37399.0846089418,,,,
2021-03-25,TSLA,BUY,172,213.4633333333,36715.6933333276,,,,
2021-03-29,AAPL,SELL,310,118.3569528103,,36690.655371193,-604.5086971119963,-1.6208768944007272,7.0
2021-03-29,NVDA,SELL,2843,12.9173635718,,36724.0646346274,-675.0199743143967,-1.8049104179223927,7.0
2021-03-29,AAPL,BUY,309,118.3569528103,36572.2984183827,,,,
2021-03-29,NVDA,BUY,2839,12.9173635718,36672.3951803402,,,,
2021-03-30,TSLA,SELL,172,211.8733333333,,36442.2133333276,-273.4800000000032,-0.7448586017896524,5.0
2021-03-30,TSLA,BUY,173,211.8733333333,36654.0866666609,,,,
2021-04-05,AAPL,SELL,309,122.7542660748,,37931.0682171132,1358.7697987305,3.715297800500085,7.0
2021-04-05,NVDA,SELL,2839,13.9541345711,,39615.7880473529,2943.392867012699,8.02618114398657,7.0
2021-04-05,TSLA,SELL,173,230.35,,39850.549999999996,3196.4633333390957,8.720619237926547,6.0
2021-04-05,AAPL,BUY,316,122.7542660748,38790.3480796368,,,,
2021-04-05,TSLA,BUY,168,230.35,38698.799999999996,,,,
2021-04-05,NVDA,BUY,2787,13.9541345711,38890.1730496557,,,,
2021-04-12,AAPL,SELL,316,127.9608409822,,40435.6257503752,1645.2776707383964,4.2414614773774,7.0
2021-04-12,TSLA,SELL,168,233.9933333333,,39310.8799999944,612.0799999944065,1.5816511106142854,7.0
2021-04-12,NVDA,SELL,2787,15.1727208358,,42286.3729693746,3396.1999197188998,8.732797139736471,7.0
2021-04-12,AAPL,BUY,315,127.9608409822,40307.664909392995,,,,
2021-04-12,TSLA,BUY,172,233.9933333333,40246.8533333276,,,,
2021-04-12,NVDA,BUY,2656,15.1727208358,40298.7465398848,,,,
2021-04-19,AAPL,SELL,315,131.4708914815,,41413.3308166725,1105.665907279501,2.7430661383260673,7.0
2021-04-19,TSLA,SELL,172,238.21,,40972.12,725.2666666724035,1.8020456423404976,7.0
2021-04-19,NVDA,SELL,2656,15.3251064699,,40703.4827840544,404.7362441696023,1.0043395363898497,7.0
2021-04-19,TSLA,BUY,171,238.21,40733.91,,,,
2021-04-26,TSLA,SELL,171,246.0666666667,,42077.4000000057,1343.490000005695,3.2982102626673915,7.0
2021-05-07,NVDA,BUY,2788,14.7769172333,41198.0452464404,,,,
2021-05-12,NVDA,SELL,2788,13.7256808219,,38267.1981314572,-2930.847114983204,-7.1140441189656585,5.0
2021-05-12,NVDA,BUY,2948,13.7256808219,40463.3070629612,,,,
2021-05-17,NVDA,SELL,2948,14.1317099744,,41660.2810045312,1196.9739415700024,2.9581713123633246,5.0
2021-05-17,NVDA,BUY,2885,14.1317099744,40769.983276144,,,,
2021-05-19,TSLA,BUY,216,187.82,40569.119999999995,,,,
2021-05-24,NVDA,SELL,2885,15.5747595298,,44933.181243473,4163.197967329004,10.211429176045405,7.0
2021-05-24,TSLA,SELL,216,202.1466666667,,43663.6800000072,3094.560000007208,7.627870656319892,5.0
2021-05-24,TSLA,BUY,210,202.1466666667,42450.800000007,,,,
2021-05-24,NVDA,BUY,2734,15.5747595298,42581.3925544732,,,,
2021-06-01,TSLA,SELL,210,207.9666666667,,43673.000000007,1222.199999999997,2.879097684848806,8.0
2021-06-01,NVDA,SELL,2734,16.2257030728,,44361.0722010352,1779.679646561999,4.179477325184471,8.0
2021-06-01,TSLA,BUY,208,207.9666666667,43257.0666666736,,,,
2021-06-01,NVDA,BUY,2670,16.2257030728,43322.627204376,,,,
2021-06-07,TSLA,SELL,208,201.71,,41955.68,-1301.3866666735994,-3.008494951129506,6.0
